UNO	id	pw	uname	height	weight	birth	email	phone
75	user75	user75!	방민아	157	53	1993-05-05	zlkjdzzzz8210@naver.com	
76	user76	user76!	배주하	155	67	1970-10-11		010-7324-6534
77	user77	user77!	허이서	130	27	1957-07-17	mkaodi061@naver.com	010-5443-8488
78	user78	user78!	임보민	149	39	1989-09-04		010-8732-0018
79	user79	user79!	김도영	163	53	1972-05-16		010-7823-8206
80	user80	user80!	노하랑	179	68	1962-10-09		010-7499-8575
81	user81	user81!	정승호	193	78	2002-11-25	daeledc24@naver.com	
82	user82	user82!	이정현	165	48	2002-07-19		010-3246-3357
83	user83	user83!	현민정	140	37	1989-07-15	dlkcc555@naver.com	
84	user84	user84!	부소이	183	85	1993-10-01	aeowjs07@naver.com	
85	user85	user85!	김이서	164	52	1988-04-10		010-0483-6844
86	user86	user86!	이민건	168	51	1997-11-10	dalk843@naver.com	
87	user87	user87!	박가영	169	42	1970-01-07	xoflsi1122@hanmail.net	010-5843-4574
88	user88	user88!	윤태린	170	59	2003-09-19	dhsdv777@naver.com	010-5424-3321
89	user89	user89!	박온유	160	50	2004-12-22		010-2469-7452
90	user90	user90!	김기범	156	34	1978-06-25	dowkn3524@naver.com	
91	user91	user91!	노예지	147	40	2001-01-03		010-6543-4335
92	user92	user92!	권채이	159	35	1959-09-08	cicidk561@gmail.com	
93	user93	user93!	임현빈	154	61	1965-07-04	gusqls34@naver.com	
94	user94	user94!	최태우	164	65	1961-05-08		010-8745-3348
95	user95	user95!	구다율	140	46	1967-08-07		010-1432-4132
96	user96	user96!	송현호	186	73	1989-11-11	gusgh27@daum.net	
97	user97	user97!	정시우	157	45	2009-11-14		010-9389-4455
98	user98	user98!	김정민	145	59	2008-01-05	wjdals08@naver.com	010-4856-8475
99	user99	user99!	조한울	190	88	1980-10-09		010-8546-1345
100	user100	user100!	최지혁	178	64	2004-08-13		010-5787-5421
