u_no	u_id	u_pw	u_name	u_gender	u_like	u_point	u_logindate
60	user60	user60!	김민석	1	1,2,4	1980	2023-04-21
61	user61	user61!	김선겸	1	1,2,4	88	2023-05-24
62	user62	user62!	박성훈	1	1,2,5	2947	2023-08-19
63	user63	user63!	박신형	1	1,3,5	1688	2022-12-29
64	user64	user64!	박형민	2	2,4,6	2378	2022-12-26
65	user65	user65!	박정민	1	1,2,5	1108	2023-03-11
66	user66	user66!	안도현	2	3,4,5	17	2023-08-31
67	user67	user67!	이상훈	2	1,2,5	576	2023-08-13
68	user68	user68!	이유라	1	1,5,6	1223	2023-10-01
69	user69	user69!	이정복	2	1,2,6	1792	2022-12-26
70	user70	user70!	임수홍	2	1,2,6	1589	2023-07-05
71	user71	user71!	장종현	2	2,3,4	41	2023-05-29
72	user72	user72!	조재영	2	1,2,3	1666	2023-05-29
73	user73	user73!	진유민	1	1,2,3	1606	2023-03-01
74	user74	user74!	함현지	2	3,5,6	2588	2023-03-09
75	user75	user75!	허수한	2	1,4,5	1910	2022-12-16
76	user76	user76!	서인준	2	2,3,4	2504	2022-12-13
77	user77	user77!	권윤학	2	2,3,4	289	2022-12-13
78	user78	user78!	김시몬	1	2,3,4	748	2022-12-24
79	user79	user79!	김유진	2	2,3,4	819	2022-11-25
80	user80	user80!	김조훈	1	2,3,4	68	2023-01-17
81	user81	user81!	김진언	2	2,3,5	1120	2023-10-09
82	user82	user82!	석효빈	1	2,3,6	2859	2023-02-14
83	user83	user83!	양효빈	2	2,3,6	2979	2023-07-07
84	user84	user84!	유진성	1	2,3,6	344	2023-08-03
85	user85	user85!	윤선영	2	2,3,6	2324	2022-10-21
86	user86	user86!	윤현석	1	1,2,4	2381	2022-12-06
87	user87	user87!	이건흠	2	1,2,4	1734	2022-12-22
88	user88	user88!	최혜성	2	1,2,4	1032	2023-07-14
89	user89	user89!	한상우	1	1,3,4	2597	2023-05-10
90	user90	user90!	정종민	1	2,3,4	1341	2023-05-15
91	user91	user91!	강강추	2	2,3,4	2772	2023-07-13
92	user92	user92!	강원기	1	2,3,4	796	2022-11-27
93	user93	user93!	강주성	2	2,5,6	697	2023-03-09
94	user94	user94!	오한별	2	2,4,5	773	2022-10-12
95	user95	user95!	김민혁	1	2,4,5	1130	2023-01-06
96	user96	user96!	김승환	2	2,4,5	93	2023-05-01
97	user97	user97!	김지민	1	2,4,6	623	2022-10-23
98	user98	user98!	김자옥	1	2,4,6	767	2023-01-19
99	user99	user99!	김충현	2	1,2,5	2369	2023-02-28
100	user100	user100!	박기업	2	1,2,5	679	2022-10-03
101	user101	user101!	박세현	2	2,3,5	1686	2023-06-17
102	user102	user102!	홍기재	2	2,3,5	2626	2023-04-05
103	user103	user103!	기홍재	2	2,4,5	2327	2023-07-15
104	user104	user104!	안해도	2	2,4,5	1650	2023-03-11
105	user105	user105!	경양존	1	2,5,6	769	2023-01-01
106	user106	user106!	김연서	1	2,5,6	1501	2023-07-29
107	user107	user107!	박우리	2	1,2,6	2916	2023-10-01
108	user108	user108!	최미리	1	2,3,6	1787	2023-05-13
109	user109	user109!	부석순	2	2,3,6	2218	2023-02-18
110	user110	user110!	이라온	1	2,3,6	481	2022-10-08
111	user111	user111!	김보성	1	2,4,6	358	2023-06-28
112	user112	user112!	성예지	1	2,4,6	2555	2022-10-02
113	user113	user113!	추혜은	1	2,4,6	1054	2023-04-07
114	user114	user114!	박은빈	1	2,4,6	2092	2023-10-11
115	user115	user115!	표다미	1	2,5,6	861	2023-02-02
116	user116	user116!	김경찬	1	1,4,6	1894	2023-03-27
117	user117	user117!	김동주	1	2,3,6	2419	2023-01-05
118	user118	user118!	김동현	2	2,3,6	1668	2022-12-22
119	user119	user119!	김민교	2	1,5,6	1611	2023-06-05
120	user120	user120!	박민재	2	1,2,3	2036	2023-06-14
121	user121	user121!	박성주	2	1,3,5	1463	2023-06-20
122	user122	user122!	박준희	1	1,3,5	220	2023-06-28
123	user123	user123!	배관희	1	1,3,6	988	2023-03-29
124	user124	user124!	배민준	2	1,2,3	1693	2023-02-01
125	user125	user125!	소진섭	1	1,4,5	1550	2022-11-10
126	user126	user126!	신영호	2	2,3,4	1311	2022-12-19
127	user127	user127!	신홍석	2	2,3,4	491	2022-11-27
128	user128	user128!	이규영	1	2,3,4	789	2022-10-07
129	user129	user129!	이수원	1	2,3,5	751	2023-02-28
130	user130	user130!	최수빈	1	2,3,6	2230	2023-10-09
131	user131	user131!	최상현	1	1,5,6	2098	2023-02-05
132	user132	user132!	최종환	1	1,3,4	1473	2023-02-25
133	user133	user133!	허다운	1	1,3,4	752	2023-08-06
134	user134	user134!	한대신	2	2,4,5	1771	2023-05-08
135	user135	user135!	김부자	1	3,4,6	2060	2023-02-25
136	user136	user136!	김세모	1	3,4,6	1600	2023-02-16
137	user137	user137!	김미자	2	2,3,5	1912	2023-09-10
138	user138	user138!	박동철	2	2,3,5	2309	2022-11-09
139	user139	user139!	송지영	1	3,4,5	1034	2023-04-23
140	user140	user140!	김춘수	2	3,5,6	2059	2022-12-05
141	user141	user141!	김지순	1	3,5,6	1601	2023-05-02
142	user142	user142!	유관순	2	3,5,6	1831	2023-05-30
143	user143	user143!	흥대원	1	3,5,6	2515	2023-05-18
144	user144	user144!	이준기	2	3,5,6	2417	2023-04-22
145	user145	user145!	조미연	1	2,3,6	1153	2023-08-20
146	user146	user146!	최철웅	2	1,3,6	1421	2022-12-06
147	user147	user147!	안기하	2	3,4,6	826	2023-04-18
148	user148	user148!	하동온	2	3,5,6	2939	2023-06-25
149	user149	user149!	김봄이	2	3,5,6	420	2023-05-23
150	user150	user150!	안중표	2	3,5,6	1482	2022-12-07
151	user151	user151!	홍기범	1	3,5,6	2791	2023-01-08
152	user152	user152!	정재정	2	3,5,6	911	2023-07-15
153	user153	user153!	복대기	2	1,2,4	2527	2023-09-18
154	user154	user154!	유정우	2	1,2,4	488	2023-03-03
155	user155	user155!	고정태	1	1,2,4	74	2022-11-24
156	user156	user156!	부서기	1	1,2,4	1168	2023-02-19
157	user157	user157!	김정주	1	1,3,4	234	2022-10-30
158	user158	user158!	김철수	1	1,3,4	2855	2023-09-26
159	user159	user159!	김미원	1	1,3,4	1417	2023-08-24
160	user160	user160!	정이나	1	1,4,6	2339	2023-05-28
161	user161	user161!	송희천	2	1,4,6	368	2023-02-02
162	user162	user162!	안원석	1	2,3,4	2682	2023-04-25
163	user163	user163!	윤정준	2	2,4,5	1247	2023-10-07
164	user164	user164!	정규광	1	2,4,5	1855	2023-06-28
165	user165	user165!	안공명	1	1,3,4	622	2023-09-16
166	user166	user166!	황이성	1	1,3,4	2311	2022-10-19
167	user167	user167!	전우탄	1	2,4,5	2609	2023-04-23
168	user168	user168!	임신오	2	3,5,6	487	2023-03-11
169	user169	user169!	남윤창	1	1,3,4	2551	2023-05-12
170	user170	user170!	황시찬	2	2,3,4	2304	2023-05-13
171	user171	user171!	문은도	1	3,4,5	1426	2023-05-22
172	user172	user172!	손우일	1	2,3,4	2513	2023-10-06
173	user173	user173!	오경대	2	2,3,4	1095	2022-11-10
174	user174	user174!	배신철	2	4,5,6	1636	2023-01-29
175	user175	user175!	이규건	1	3,4,6	741	2023-06-06
176	user176	user176!	배신홍	2	1,4,5	2948	2023-01-13
177	user177	user177!	남신철	2	1,4,5	1932	2022-10-03
178	user178	user178!	손신철	1	1,4,5	837	2023-06-30
179	user179	user179!	허영중	2	1,4,5	464	2023-06-03
180	user180	user180!	김선홍	1	2,4,5	2320	2022-11-09
181	user181	user181!	김광희	1	2,4,5	686	2023-06-14
182	user182	user182!	김성민	1	3,4,5	731	2022-12-26
183	user183	user183!	휴진아	2	3,4,5	2500	2023-05-29
184	user184	user184!	박진호	1	3,4,5	2757	2023-09-18
185	user185	user185!	유나미	1	3,4,5	834	2023-07-26
186	user186	user186!	이하선	2	4,5,6	2494	2023-09-02
187	user187	user187!	이경현	2	4,5,6	1022	2023-03-09
188	user188	user188!	전종민	1	4,5,6	1003	2022-12-07
189	user189	user189!	김민준	1	4,5,6	2443	2023-02-13
190	user190	user190!	김호성	2	1,4,6	1497	2023-02-19
191	user191	user191!	김사미	2	1,4,6	2350	2022-11-23
192	user192	user192!	권민수	1	1,4,6	1932	2023-05-15
193	user193	user193!	구은서	2	2,4,6	2242	2023-08-08
194	user194	user194!	민택경	1	2,4,6	2542	2023-01-08
195	user195	user195!	박민호	2	3,4,6	728	2023-09-03
196	user196	user196!	정영팔	1	3,4,6	2775	2023-06-07
197	user197	user197!	이소은	1	4,6,5	931	2023-03-11
198	user198	user198!	강수민	1	1,2,5	2747	2023-05-04
199	user199	user199!	길민희	2	1,2,4	2012	2022-10-02
200	user200	user200!	박가람	1	2,3,6	353	2022-10-10
201	user201	user201!	박가온	2	1,3,5	1268	2023-08-25
202	user202	user202!	김나래	2	1,4,5	1661	2022-12-06
203	user203	user203!	이난새	1	1,4,5	1437	2023-06-30
204	user204	user204!	이루리	2	1,4,5	2520	2023-06-10
205	user205	user205!	김아란	1	1,5,6	1922	2022-12-01
206	user206	user206!	박아름	2	1,2,5	733	2022-11-12
207	user207	user207!	이아름	1	1,2,5	2994	2023-02-27
208	user208	user208!	이예슬	1	2,3,5	481	2023-01-30
209	user209	user209!	김우솔	2	2,3,4	1160	2023-04-05
210	user210	user210!	신예슬	1	2,3,5	2339	2022-12-23
211	user211	user211!	허은솔	2	2,3,4	1385	2023-10-11
212	user212	user212!	이재찬	2	2,5,6	1187	2022-10-31
213	user213	user213!	박지은	1	2,5,6	1267	2022-11-21
214	user214	user214!	박재찬	2	2,5,6	826	2023-04-22
215	user215	user215!	김진나	1	1,3,5	534	2022-11-23
216	user216	user216!	허진상	2	1,3,5	33	2023-08-05
217	user217	user217!	하준석	2	2,3,5	1262	2023-05-13
218	user218	user218!	이세찬	1	2,3,5	464	2022-11-21
219	user219	user219!	김다빈	1	2,3,5	495	2023-09-07
220	user220	user220!	이마루	2	2,3,5	1003	2023-07-06
221	user221	user221!	한다솜	1	3,4,5	1120	2022-11-30
222	user222	user222!	신하람	1	3,4,5	2469	2023-09-26
223	user223	user223!	박다현	1	1,4,5	1574	2023-02-09
224	user224	user224!	김한나	2	2,4,6	899	2023-05-06
225	user225	user225!	이하늘	1	3,5,6	2323	2022-10-17
226	user226	user226!	박유민	2	3,4,5	413	2023-06-29
227	user227	user227!	한가람	2	3,4,5	1908	2023-06-08
228	user228	user228!	박소율	1	3,4,5	2863	2022-11-17
229	user229	user229!	이예림	1	1,5,6	2474	2022-11-17
230	user230	user230!	박수지	2	1,5,6	789	2023-06-18
231	user231	user231!	이하린	1	4,5,6	1037	2023-09-01
232	user232	user232!	이ㅣ아	1	4,5,6	2336	2023-04-06
233	user233	user233!	박소담	1	4,5,6	1046	2022-12-24
234	user234	user234!	한기쁨	1	1,2,6	1405	2023-03-31
235	user235	user235!	박명헌	2	1,2,6	1078	2023-06-02
236	user236	user236!	박수혁	1	1,2,6	725	2023-09-12
237	user237	user237!	이한결	1	1,2,6	1023	2023-08-15
238	user238	user238!	한고은	2	1,2,6	787	2022-10-12
239	user239	user239!	이수혁	2	1,3,6	1208	2023-04-05
240	user240	user240!	김소율	2	1,3,6	206	2023-05-01
241	user241	user241!	이다은	2	1,4,6	102	2022-10-12
242	user242	user242!	이상혁	2	1,4,6	309	2023-08-14
243	user243	user243!	박주희	2	1,5,6	1451	2022-12-23
244	user244	user244!	임다은	1	1,5,6	2534	2022-12-18
245	user245	user245!	정다희	1	1,2,6	1958	2023-04-10
246	user246	user246!	박상혁	2	1,2,6	531	2023-04-12
247	user247	user247!	김준재	1	2,3,6	1921	2022-12-02
248	user248	user248!	박서준	1	2,3,6	812	2023-01-02
249	user249	user249!	이예준	2	2,3,6	2541	2023-01-07
250	user250	user250!	박도윤	2	2,4,6	197	2023-06-12
251	user251	user251!	임주원	1	2,4,6	1731	2023-06-03
252	user252	user252!	정시우	1	2,5,6	2537	2023-03-06
253	user253	user253!	최지후	1	2,5,6	801	2022-11-01
254	user254	user254!	박지호	1	2,5,6	49	2023-01-22
255	user255	user255!	임준서	1	1,3,6	938	2023-08-18
256	user256	user256!	김하준	1	1,3,6	1722	2023-06-03
257	user257	user257!	이현우	2	1,3,6	58	2023-04-15
258	user258	user258!	이준우	2	1,3,6	1382	2023-03-29
259	user259	user259!	서도현	2	2,3,6	1536	2022-12-19
260	user260	user260!	한우진	1	2,3,6	1324	2023-02-15
261	user261	user261!	고승민	1	3,4,6	2728	2023-09-25
262	user262	user262!	김민성	1	3,5,6	1641	2023-08-04
263	user263	user263!	정유찬	2	3,5,6	949	2022-12-14
264	user264	user264!	방진우	2	3,5,6	666	2023-09-18
265	user265	user265!	김지원	2	2,4,6	1019	2023-04-16
266	user266	user266!	이재원	1	2,4,6	435	2023-02-19
267	user267	user267!	이민규	2	3,4,6	2009	2023-06-08
268	user268	user268!	김은찬	1	4,5,6	674	2023-08-26
269	user269	user269!	박한결	1	4,5,6	1791	2022-11-12
270	user270	user270!	최윤호	2	4,5,6	736	2022-10-06
271	user271	user271!	이시은	2	1,5,6	2793	2023-01-13
272	user272	user272!	기민지	2	1,5,6	2926	2023-03-21
273	user273	user273!	안지안	2	2,5,6	1406	2023-06-16
274	user274	user274!	송연우	1	2,5,6	780	2022-10-26
275	user275	user275!	이예서	2	2,5,6	888	2022-11-18
276	user276	user276!	장주아	1	2,5,6	1674	2022-11-06
277	user277	user277!	박서아	1	2,5,6	2985	2023-01-02
278	user278	user278!	이하율	2	3,5,6	1997	2023-04-28
279	user279	user279!	김다인	1	4,5,6	1186	2023-03-12
280	user280	user280!	장다현	2	4,5,6	1246	2023-08-30
